id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_ibu_hamil,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,126474,ORANG,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,51056,ORANG,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,46284,ORANG,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,79912,ORANG,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,62514,ORANG,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,33470,ORANG,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,20383,ORANG,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,20156,ORANG,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,53689,ORANG,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,21778,ORANG,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20684,ORANG,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,43102,ORANG,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,35351,ORANG,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,19976,ORANG,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,46520,ORANG,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,73617,ORANG,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,32807,ORANG,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6720,ORANG,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,21324,ORANG,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,6535,ORANG,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,46628,ORANG,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,5960,ORANG,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,55682,ORANG,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,46096,ORANG,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,11875,ORANG,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13097,ORANG,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,4307,ORANG,2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,127203,ORANG,2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,50252,ORANG,2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,46972,ORANG,2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,79789,ORANG,2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,57424,ORANG,2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,32844,ORANG,2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,19664,ORANG,2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,19839,ORANG,2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,40953,ORANG,2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,21403,ORANG,2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20023,ORANG,2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,30418,ORANG,2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,27302,ORANG,2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,19831,ORANG,2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,46060,ORANG,2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,80227,ORANG,2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,34933,ORANG,2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6601,ORANG,2017
46,32,JAWA BARAT,3271,KOTA BOGOR,21205,ORANG,2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,6461,ORANG,2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,45191,ORANG,2017
49,32,JAWA BARAT,3274,KOTA CIREBON,5897,ORANG,2017
50,32,JAWA BARAT,3275,KOTA BEKASI,56143,ORANG,2017
51,32,JAWA BARAT,3276,KOTA DEPOK,46840,ORANG,2017
52,32,JAWA BARAT,3277,KOTA CIMAHI,11801,ORANG,2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12878,ORANG,2017
54,32,JAWA BARAT,3279,KOTA BANJAR,3304,ORANG,2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,127781,ORANG,2018
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,51182,ORANG,2018
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,46972,ORANG,2018
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,79612,ORANG,2018
59,32,JAWA BARAT,3205,KABUPATEN GARUT,61051,ORANG,2018
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,32657,ORANG,2018
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,23350,ORANG,2018
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,19514,ORANG,2018
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,50176,ORANG,2018
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,21020,ORANG,2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,19631,ORANG,2018
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,29942,ORANG,2018
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,35848,ORANG,2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,19662,ORANG,2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,45558,ORANG,2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,81869,ORANG,2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,34613,ORANG,2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6478,ORANG,2018
73,32,JAWA BARAT,3271,KOTA BOGOR,21113,ORANG,2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,6381,ORANG,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,44422,ORANG,2018
76,32,JAWA BARAT,3274,KOTA CIREBON,5834,ORANG,2018
77,32,JAWA BARAT,3275,KOTA BEKASI,56551,ORANG,2018
78,32,JAWA BARAT,3276,KOTA DEPOK,47550,ORANG,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,11713,ORANG,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13265,ORANG,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,3238,ORANG,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,128293,ORANG,2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,48541,ORANG,2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,45277,ORANG,2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,79389,ORANG,2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,55955,ORANG,2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,31560,ORANG,2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,18940,ORANG,2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,19196,ORANG,2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,39998,ORANG,2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20647,ORANG,2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,19230,ORANG,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,29476,ORANG,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,26669,ORANG,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,19483,ORANG,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,45032,ORANG,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,83495,ORANG,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,34276,ORANG,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6358,ORANG,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,21010,ORANG,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,6301,ORANG,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,43647,ORANG,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,5773,ORANG,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,56937,ORANG,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,48242,ORANG,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,11623,ORANG,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12413,ORANG,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,3171,ORANG,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,128743,ORANG,2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,47673,ORANG,2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,44426,ORANG,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,79131,ORANG,2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,55188,ORANG,2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30912,ORANG,2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,18589,ORANG,2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18884,ORANG,2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,39534,ORANG,2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20284,ORANG,2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,18834,ORANG,2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,29020,ORANG,2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,26363,ORANG,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,19300,ORANG,2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,44495,ORANG,2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,85125,ORANG,2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,33925,ORANG,2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6244,ORANG,2020
127,32,JAWA BARAT,3271,KOTA BOGOR,20902,ORANG,2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,6215,ORANG,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,42863,ORANG,2020
130,32,JAWA BARAT,3274,KOTA CIREBON,5713,ORANG,2020
131,32,JAWA BARAT,3275,KOTA BEKASI,57307,ORANG,2020
132,32,JAWA BARAT,3276,KOTA DEPOK,48928,ORANG,2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,11528,ORANG,2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12181,ORANG,2020
135,32,JAWA BARAT,3279,KOTA BANJAR,3104,ORANG,2020
